cell,t,x_canon,x_phantom,separation,drift_canon,drift_phantom,rms_canon,rms_phantom,peak_amplitude,confined_frac,min_chi
single_p,0.0,35.99975518589927,,,0.0,,5.045134153409358,,0.022597656726075097,0.5592998802237042,0.9893967797847075
single_p,4.0,35.98851411931488,,,-0.011241066584389614,,4.937004400724337,,0.024500759795008594,0.5886764880715933,0.9948956491872747
single_p,8.0,35.959535623247575,,,-0.0402195626516928,,4.849674469898201,,0.022842011489553584,0.5977802953447514,0.9625954145648211
single_p,12.0,35.946460871170295,,,-0.053294314728972836,,5.491570637700563,,0.02172028835747546,0.49760914405258583,0.9620707425040177
single_p,16.0,35.95651872370556,,,-0.043236462193711134,,5.988389954245509,,0.02228251544177776,0.5087460735861671,0.9574778877229256
single_p,20.0,35.974585695780085,,,-0.02516949011918257,,6.554128572179077,,0.024708963314116164,0.5758687165835249,0.951339314789016
single_p,24.0,36.011378759662165,,,0.01162357376289691,,7.631040018056242,,0.02310942940481486,0.49621596116348976,0.9393302583202852
single_p,28.0,36.05892787848123,,,0.05917269258196001,,8.74244972245132,,0.02146605670494177,0.4312613953095966,0.9232761644259899
single_p,32.0,36.104745190434336,,,0.10499000453506824,,10.277544756439243,,0.02247289746163163,0.4554032826916993,0.9045320272883979
single_p,36.0,36.10232966900548,,,0.10257448310620987,,12.251436241776208,,0.024734338109340216,0.4900936688564422,0.881686564266761
single_p,40.0,36.060416913087174,,,0.06066172718790597,,13.400974524167049,,0.023403233742741638,0.43407038177570584,0.8509910801222633
single_m,0.0,,36.000262806455076,,,0.0,,5.4268583569555435,0.030106977761921262,0.45479423884056996,1.0000000027957499
single_m,4.0,,36.00107845749505,,,0.0008156510399714989,,5.4272911286008005,0.031485980482831404,0.45492349855207204,1.0005068524257894
single_m,8.0,,36.003893091155064,,,0.003630284699987385,,5.435196237380654,0.03081468996109208,0.45279182906020415,1.000656814019887
single_m,12.0,,36.009002724477064,,,0.008739918021987592,,5.494783131343202,0.03049900378225069,0.4454654538556253,1.0007439066815709
single_m,16.0,,36.013996389276876,,,0.013733582821799928,,5.5995616709579155,0.03125679131984442,0.44079514739618153,1.0007910827809339
single_m,20.0,,36.021303725633224,,,0.021040919178147988,,5.677215932346335,0.03003011662234968,0.4396421328102795,1.0008290183876312
single_m,24.0,,36.03006193249462,,,0.029799126039542045,,5.7885864056557415,0.031260391371641064,0.43389928088885343,1.0008629259620687
single_m,28.0,,36.03894032855075,,,0.03867752209567499,,5.965241541280484,0.030108416255296346,0.4215562246966122,1.00089427272055
single_m,32.0,,36.047350851635656,,,0.04708804518057974,,6.145870104332212,0.03074549612115859,0.4136416453687238,1.0009240248762052
single_m,36.0,,36.05470479804581,,,0.05444199159073548,,6.250844772741252,0.030512176271523313,0.4107291831678976,1.0009519299532283
single_m,40.0,,36.06509607683229,,,0.06483327037721409,,6.319332004826751,0.030617902229269633,0.4056743780448434,1.001085429627109
pair_pm,0.0,36.00171762251991,28.002238298608024,7.999479323911888,0.0,0.0,5.045340150442191,5.426684084567007,0.04074923788091027,0.30203891046382964,0.9843275268344596
pair_pm,4.0,36.00209116821387,28.00556889933298,7.9965222688808915,0.0003735456939608639,0.003330600724957833,5.056893416051197,5.422280285533894,0.040762318371025785,0.3022547751257261,0.9809079810380734
pair_pm,8.0,36.01046707776761,28.030523969401703,7.979943108365905,0.008749455247695437,0.02828567079367872,5.077460404254697,5.45073624638181,0.040817770212656965,0.3010636674800521,0.9824751966309243
