# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  1.2615930166355635e-01  1.2500000000000000e-01
2.0000000000000001e-01  1.2544321312084372e-01  1.2500000000000000e-01
4.0000000000000002e-01  1.2472173925396386e-01  1.2500000000000000e-01
5.9999999999999998e-01  1.2391812862561838e-01  1.2500000000000000e-01
8.0000000000000104e-01  1.2311142975998136e-01  1.2500000000000000e-01
1.0000000000000000e+00  1.2237454594225457e-01  1.2500000000000000e-01
1.2000000000000000e+00  1.2176140027069253e-01  1.2500000000000000e-01
1.3999999999999899e+00  1.2131107880599853e-01  1.2500000000000000e-01
1.5999999999999901e+00  1.2095844315138531e-01  1.2500000000000000e-01
1.7999999999999801e+00  1.2062810544967460e-01  1.2500000000000000e-01
1.9999999999999800e+00  1.2030888416346268e-01  1.2500000000000000e-01
2.1999999999999802e+00  1.2000334824794269e-01  1.2500000000000000e-01
2.3999999999999702e+00  1.1971397330781086e-01  1.2500000000000000e-01
2.5999999999999699e+00  1.1944655355753649e-01  1.2500000000000000e-01
2.7999999999999599e+00  1.1921046137390948e-01  1.2500000000000000e-01
2.9999999999999600e+00  1.1901595398502318e-01  1.2500000000000000e-01
3.1999999999999500e+00  1.1886991155956091e-01  1.2500000000000000e-01
3.3999999999999502e+00  1.1877316831766568e-01  1.2500000000000000e-01
3.5999999999999499e+00  1.1872256865273806e-01  1.2500000000000000e-01
3.7999999999999399e+00  1.1871595610909653e-01  1.2500000000000000e-01
3.9999999999999400e+00  1.1875479767772225e-01  1.2500000000000000e-01
4.1999999999999300e+00  1.1884193153920153e-01  1.2500000000000000e-01
4.3999999999999302e+00  1.1897732112825131e-01  1.2500000000000000e-01
4.5999999999999197e+00  1.1915629629442252e-01  1.2500000000000000e-01
4.7999999999999199e+00  1.1937154361135086e-01  1.2500000000000000e-01
4.9999999999999201e+00  1.1961662248810367e-01  1.2500000000000000e-01
5.1999999999999096e+00  1.1988852251220745e-01  1.2500000000000000e-01
5.3999999999999098e+00  1.2018831832824728e-01  1.2500000000000000e-01
5.5999999999999002e+00  1.2051967452950438e-01  1.2500000000000000e-01
5.7999999999999003e+00  1.2088547559298889e-01  1.2500000000000000e-01
5.9999999999998899e+00  1.2128516101800219e-01  1.2500000000000000e-01
6.1999999999998900e+00  1.2171712811040913e-01  1.2500000000000000e-01
6.3999999999998902e+00  1.2218643352437784e-01  1.2500000000000000e-01
6.5999999999998797e+00  1.2270956239203218e-01  1.2500000000000000e-01
6.7999999999998799e+00  1.2330725537901903e-01  1.2500000000000000e-01
6.9999999999998703e+00  1.2398940582437754e-01  1.2500000000000000e-01
7.1999999999998696e+00  1.2474647792173837e-01  1.2500000000000000e-01
7.3999999999998600e+00  1.2555025969800970e-01  1.2500000000000000e-01
7.5999999999998602e+00  1.2635051380151568e-01  1.2500000000000000e-01
7.7999999999998604e+00  1.2706883626696619e-01  1.2500000000000000e-01
7.9999999999998499e+00  1.2761651846444216e-01  1.2500000000000000e-01
8.1999999999998803e+00  1.2794182690401468e-01  1.2500000000000000e-01
8.3999999999999098e+00  1.2806316814286789e-01  1.2500000000000000e-01
8.5999999999999392e+00  1.2805026192144056e-01  1.2500000000000000e-01
8.7999999999999794e+00  1.2797550894655635e-01  1.2500000000000000e-01
9.0000000000000107e+00  1.2788405658084021e-01  1.2500000000000000e-01
9.2000000000000401e+00  1.2779597076593374e-01  1.2500000000000000e-01
9.4000000000000696e+00  1.2771959792381773e-01  1.2500000000000000e-01
9.6000000000000991e+00  1.2765904963510821e-01  1.2500000000000000e-01
9.8000000000001304e+00  1.2761570477759887e-01  1.2500000000000000e-01
1.0000000000000201e+01  1.2758816437988504e-01  1.2500000000000000e-01
1.0200000000000200e+01  1.2757203113088630e-01  1.2500000000000000e-01
1.0400000000000199e+01  1.2756063029259729e-01  1.2500000000000000e-01
1.0600000000000300e+01  1.2754808975758922e-01  1.2500000000000000e-01
1.0800000000000299e+01  1.2753326806444437e-01  1.2500000000000000e-01
1.1000000000000300e+01  1.2752076680597019e-01  1.2500000000000000e-01
1.1200000000000401e+01  1.2751741324615154e-01  1.2500000000000000e-01
1.1400000000000400e+01  1.2752685561811589e-01  1.2500000000000000e-01
1.1600000000000399e+01  1.2754681358989314e-01  1.2500000000000000e-01
1.1800000000000400e+01  1.2757097329094333e-01  1.2500000000000000e-01
1.2000000000000499e+01  1.2759316348965957e-01  1.2500000000000000e-01
1.2200000000000500e+01  1.2761003353940903e-01  1.2500000000000000e-01
1.2400000000000500e+01  1.2762090251857877e-01  1.2500000000000000e-01
1.2600000000000600e+01  1.2762639956234242e-01  1.2500000000000000e-01
1.2800000000000599e+01  1.2762777628577909e-01  1.2500000000000000e-01
1.3000000000000600e+01  1.2762706578605709e-01  1.2500000000000000e-01
1.3200000000000699e+01  1.2762728443780560e-01  1.2500000000000000e-01
1.3400000000000700e+01  1.2763195433925234e-01  1.2500000000000000e-01
1.3600000000000700e+01  1.2764367719247494e-01  1.2500000000000000e-01
1.3800000000000800e+01  1.2766242418255502e-01  1.2500000000000000e-01
1.4000000000000799e+01  1.2768507761525608e-01  1.2500000000000000e-01
1.4200000000000800e+01  1.2770707264611730e-01  1.2500000000000000e-01
1.4400000000000899e+01  1.2772486622470594e-01  1.2500000000000000e-01
1.4600000000000900e+01  1.2773712758488148e-01  1.2500000000000000e-01
1.4800000000000900e+01  1.2774452036889730e-01  1.2500000000000000e-01
1.5000000000000901e+01  1.2774992463859117e-01  1.2500000000000000e-01
1.5200000000000999e+01  1.2775909106614747e-01  1.2500000000000000e-01
1.5400000000001000e+01  1.2777867963536976e-01  1.2500000000000000e-01
1.5600000000001000e+01  1.2781174678731860e-01  1.2500000000000000e-01
1.5800000000001100e+01  1.2785570492986983e-01  1.2500000000000000e-01
1.6000000000001101e+01  1.2790473720171802e-01  1.2500000000000000e-01
1.6200000000001101e+01  1.2795328374869860e-01  1.2500000000000000e-01
1.6400000000001000e+01  1.2799751280183116e-01  1.2500000000000000e-01
1.6600000000001000e+01  1.2803470730045216e-01  1.2500000000000000e-01
1.6800000000000900e+01  1.2806180854155833e-01  1.2500000000000000e-01
1.7000000000000899e+01  1.2807387181379898e-01  1.2500000000000000e-01
1.7200000000000902e+01  1.2806268944723409e-01  1.2500000000000000e-01
1.7400000000000801e+01  1.2801776703432738e-01  1.2500000000000000e-01
1.7600000000000801e+01  1.2794195364679967e-01  1.2500000000000000e-01
1.7800000000000701e+01  1.2789847845838695e-01  1.2500000000000000e-01
1.8000000000000700e+01  1.2799448821057216e-01  1.2500000000000000e-01
1.8200000000000699e+01  1.2821414993241600e-01  1.2500000000000000e-01
1.8400000000000599e+01  1.2839662179020847e-01  1.2500000000000000e-01
1.8600000000000598e+01  1.2842653031218504e-01  1.2500000000000000e-01
1.8800000000000502e+01  1.2835432286546308e-01  1.2500000000000000e-01
1.9000000000000501e+01  1.2829226095894625e-01  1.2500000000000000e-01
1.9200000000000500e+01  1.2827552363710099e-01  1.2500000000000000e-01
1.9400000000000400e+01  1.2826660511182469e-01  1.2500000000000000e-01
1.9600000000000399e+01  1.2822820874720942e-01  1.2500000000000000e-01
1.9800000000000299e+01  1.2815264759126568e-01  1.2500000000000000e-01
2.0000000000000298e+01  1.2804658480411768e-01  1.2500000000000000e-01
2.0200000000000301e+01  1.2791420447773644e-01  1.2500000000000000e-01
2.0400000000000201e+01  1.2775518551171317e-01  1.2500000000000000e-01
2.0600000000000200e+01  1.2756944043753937e-01  1.2500000000000000e-01
2.0800000000000100e+01  1.2736167323323372e-01  1.2500000000000000e-01
2.1000000000000099e+01  1.2714866505243416e-01  1.2500000000000000e-01
2.1200000000000099e+01  1.2696632873504632e-01  1.2500000000000000e-01
2.1399999999999999e+01  1.2687808035448273e-01  1.2500000000000000e-01
2.1600000000000001e+01  1.2696847517434656e-01  1.2500000000000000e-01
2.1799999999999901e+01  1.2722046432469580e-01  1.2500000000000000e-01
