# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  3.1908774622647027e+01  3.1999830797172603e+01  3.1999863913996389e+01  3.1999863985960516e+01  6.4371507044065153e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.0000000000000001e-01  3.2598555339963063e+01  3.1999726341055133e+01  3.1999756838708766e+01  3.1999757161780249e+01  6.3805007997474554e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.0000000000000002e-01  3.2838413965322971e+01  3.1999587962022218e+01  3.1999623786748966e+01  3.1999624394905975e+01  6.3672068455593838e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.9999999999999998e-01  3.2847744961237950e+01  3.1999413145461162e+01  3.1999466613283158e+01  3.1999467562958785e+01  6.3742330133084737e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.0000000000000104e-01  3.2856894552467963e+01  3.1999220478296934e+01  3.1999295308550845e+01  3.1999296651855676e+01  6.3808464560523142e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0000000000000000e+00  3.2917938465823681e+01  3.1999024319194017e+01  3.1999118942316120e+01  3.1999120709154287e+01  6.3826362000365782e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2000000000000000e+00  3.3009480237297552e+01  3.1998832544014071e+01  3.1998944021878781e+01  3.1998946215314923e+01  6.3818734362453871e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3999999999999899e+00  3.3113213754063992e+01  3.1998650404460971e+01  3.1998777332225494e+01  3.1998779933054720e+01  6.3801849050684032e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5999999999999901e+00  3.3312166746149316e+01  3.1998487792078617e+01  3.1998633215508942e+01  3.1998636183183983e+01  6.3694844373043757e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.7999999999999801e+00  3.3557816504568017e+01  3.1998329411601844e+01  3.1998504259227872e+01  3.1998507552474578e+01  6.3542611185753639e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.9999999999999800e+00  3.3787608538644463e+01  3.1998165981324316e+01  3.1998378702010250e+01  3.1998382291966355e+01  6.3399852100450076e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.1999999999999802e+00  3.3983053801742059e+01  3.1998002848058992e+01  3.1998253244403838e+01  3.1998257119051779e+01  6.3279720225899290e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.3999999999999702e+00  3.4150018486443244e+01  3.1997846588187603e+01  3.1998129380824821e+01  3.1998133546986033e+01  6.3175765974825326e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.5999999999999699e+00  3.4294344329600236e+01  3.1997693639801337e+01  3.1998000800558234e+01  3.1998005279166353e+01  6.3083634990755879e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.7999999999999599e+00  3.4408844496424621e+01  3.1997536718413301e+01  3.1997848977379352e+01  3.1997853779519751e+01  6.3010074416318069e+00  0.0000000000000000e+00  nan  nan  nan  nan
2.9999999999999600e+00  3.4478727785047852e+01  3.1997374849162885e+01  3.1997657008575484e+01  3.1997662094104896e+01  6.2966963925670019e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.1999999999999500e+00  3.4493053091510035e+01  3.1997212096261503e+01  3.1997422617212514e+01  3.1997427881905185e+01  6.2962313450298968e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.3999999999999502e+00  3.4449972123149990e+01  3.1997052394986781e+01  3.1997157626099035e+01  3.1997162939401775e+01  6.2997172765830580e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.5999999999999499e+00  3.4355560844153771e+01  3.1996897863530833e+01  3.1996880537636997e+01  3.1996885774218036e+01  6.3067314949653301e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.7999999999999399e+00  3.4220607035854201e+01  3.1996749708876862e+01  3.1996610277905667e+01  3.1996615323871382e+01  6.3165921483284295e+00  0.0000000000000000e+00  nan  nan  nan  nan
3.9999999999999400e+00  3.4058018986211771e+01  3.1996609584070374e+01  3.1996363233770460e+01  3.1996367981354904e+01  6.3285420542895556e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.1999999999999300e+00  3.3881412283581795e+01  3.1996480849921124e+01  3.1996152385107877e+01  3.1996156701340052e+01  6.3418303715729190e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.3999999999999302e+00  3.3704534182279644e+01  3.1996369114562025e+01  3.1995986976435177e+01  3.1995990658536126e+01  6.3557318510073380e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.5999999999999197e+00  3.3541039848964957e+01  3.1996281141795023e+01  3.1995871851075002e+01  3.1995874627274649e+01  6.3695464998192541e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.7999999999999199e+00  3.3404291417074688e+01  3.1996222255635995e+01  3.1995806576327492e+01  3.1995808165555751e+01  6.3826073597346333e+00  0.0000000000000000e+00  nan  nan  nan  nan
4.9999999999999201e+00  3.3307113480854149e+01  3.1996194184709438e+01  3.1995785258743489e+01  3.1995785419901928e+01  6.3943014223155830e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.1999999999999096e+00  3.3261348406377877e+01  3.1996195052234071e+01  3.1995796892662632e+01  3.1995795414106041e+01  6.4041155423772134e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.3999999999999098e+00  3.3276407432759228e+01  3.1996221274293863e+01  3.1995825170905732e+01  3.1995821848374614e+01  6.4117704271574638e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.5999999999999002e+00  3.3357227809110512e+01  3.1996263593540725e+01  3.1995850897163155e+01  3.1995845576723372e+01  6.4173949958985501e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.7999999999999003e+00  3.3504591419574794e+01  3.1996304366157030e+01  3.1995856989740382e+01  3.1995849617360591e+01  6.4214804495811837e+00  0.0000000000000000e+00  nan  nan  nan  nan
5.9999999999998899e+00  3.3716888851327340e+01  3.1996323022423759e+01  3.1995831337476115e+01  3.1995821929584903e+01  6.4247061690053009e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.1999999999998900e+00  3.3991351303111955e+01  3.1996304584766591e+01  3.1995766627799267e+01  3.1995755234342603e+01  6.4278119717106277e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.3999999999998902e+00  3.4325519648572147e+01  3.1996244433640168e+01  3.1995658781762810e+01  3.1995645485538702e+01  6.4314595222173061e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.5999999999998797e+00  3.4719250785265920e+01  3.1996149360163354e+01  3.1995504832664931e+01  3.1995489752820358e+01  6.4360718850656928e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.7999999999998799e+00  3.5176570392813488e+01  3.1996033879600763e+01  3.1995300805223231e+01  3.1995284094797189e+01  6.4417144714456187e+00  0.0000000000000000e+00  nan  nan  nan  nan
6.9999999999998703e+00  3.5705992840231247e+01  3.1995912956780664e+01  3.1995040422383749e+01  3.1995022269842302e+01  6.4481167114685052e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.1999999999998696e+00  3.6318726624847017e+01  3.1995795475510249e+01  3.1994715125888728e+01  3.1994695769515477e+01  6.4548537499457996e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.3999999999998600e+00  3.7025508164987656e+01  3.1995681176987350e+01  3.1994315035353104e+01  3.1994294796720506e+01  6.4615985927426136e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.5999999999998602e+00  3.7832746634643840e+01  3.1995560372535937e+01  3.1993830524039534e+01  3.1993809835762331e+01  6.4683661360928850e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.7999999999998604e+00  3.8736945060915303e+01  3.1995415366489123e+01  3.1993254783049256e+01  3.1993234106324664e+01  6.4758090796781609e+00  0.0000000000000000e+00  nan  nan  nan  nan
7.9999999999998499e+00  3.9715262026954022e+01  3.1995228068670418e+01  3.1992587298772978e+01  3.1992566919704213e+01  6.4857004683609345e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.1999999999998803e+00  4.0714514863986643e+01  3.1995002572706412e+01  3.1991836647860129e+01  3.1991816585604148e+01  6.5014237626607860e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.3999999999999098e+00  4.1658121795171283e+01  3.1994792846263188e+01  3.1991025496275380e+01  3.1991005586582183e+01  6.5272332717622783e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.5999999999999392e+00  4.2503085135700502e+01  3.1994675552217075e+01  3.1990202099699005e+01  3.1990182084171334e+01  6.5645246308820004e+00  0.0000000000000000e+00  nan  nan  nan  nan
8.7999999999999794e+00  4.3308437960376949e+01  3.1994635329259950e+01  3.1989415805111904e+01  3.1989395535060289e+01  6.6080624980241547e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.0000000000000107e+00  4.4144113072897014e+01  3.1994579545841109e+01  3.1988642551353536e+01  3.1988622082732913e+01  6.6526798970550667e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.2000000000000401e+00  4.4907648388334351e+01  3.1994501196982736e+01  3.1987842203333251e+01  3.1987821355085924e+01  6.7045111233453927e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.4000000000000696e+00  4.5500008279026801e+01  3.1994439871835070e+01  3.1987033356943066e+01  3.1987011834416929e+01  6.7688046833754649e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.6000000000000991e+00  4.5965023525836685e+01  3.1994400668500511e+01  3.1986235279666683e+01  3.1986212934054937e+01  6.8418877119417179e+00  0.0000000000000000e+00  nan  nan  nan  nan
9.8000000000001304e+00  4.6386066513441243e+01  3.1994368431098664e+01  3.1985450168244267e+01  3.1985426983160977e+01  6.9181730527638674e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0000000000000201e+01  4.6823858125988821e+01  3.1994326663901521e+01  3.1984674729846702e+01  3.1984650755106404e+01  6.9938357210998596e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0200000000000200e+01  4.7314926271886435e+01  3.1994262142879265e+01  3.1983905817415739e+01  3.1983881128668617e+01  7.0667127214700001e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0400000000000199e+01  4.7882842203576253e+01  3.1994164818281444e+01  3.1983141718799128e+01  3.1983116401397464e+01  7.1355189777244084e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0600000000000300e+01  4.8547127379689364e+01  3.1994027228121848e+01  3.1982382817901865e+01  3.1982356963411625e+01  7.1992561934480070e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.0800000000000299e+01  4.9327592661916725e+01  3.1993844347706474e+01  3.1981632133485839e+01  3.1981605835836760e+01  7.2569283523466162e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1000000000000300e+01  5.0244378789486106e+01  3.1993613922828875e+01  3.1980895083878657e+01  3.1980868424344070e+01  7.3075374765118069e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1200000000000401e+01  5.1314684586679284e+01  3.1993337035848732e+01  3.1980178594701744e+01  3.1980151610223444e+01  7.3502764639467815e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1400000000000400e+01  5.2546122148670918e+01  3.1993018635680691e+01  3.1979490467966588e+01  3.1979463100039755e+01  7.3848824277211147e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1600000000000399e+01  5.3924368440177133e+01  3.1992667822834022e+01  3.1978839388717315e+01  3.1978811411773556e+01  7.4122354786168714e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.1800000000000400e+01  5.5393157033221662e+01  3.1992297396977907e+01  3.1978234594009276e+01  3.1978205539482733e+01  7.4352608338288793e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2000000000000499e+01  5.6836355285865778e+01  3.1991921460741796e+01  3.1977682702497042e+01  3.1977651854623492e+01  7.4595970208449423e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2200000000000500e+01  5.8105179452974539e+01  3.1991550269389613e+01  3.1977180900080214e+01  3.1977147512262043e+01  7.4918948903280134e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2400000000000500e+01  5.9138496765262445e+01  3.1991189586010805e+01  3.1976721709411496e+01  3.1976685362444801e+01  7.5335296003971290e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2600000000000600e+01  6.0015151978277480e+01  3.1990857088579254e+01  3.1976324322891365e+01  3.1976284693842100e+01  7.5783690090856037e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.2800000000000599e+01  6.0709046459350532e+01  3.1990577344372369e+01  3.1976015023975503e+01  3.1975971324987182e+01  7.6264288495988106e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3000000000000600e+01  6.1062151929905788e+01  3.1990349785525314e+01  3.1975769088013248e+01  3.1975720556662555e+01  7.6851479673276639e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3200000000000699e+01  6.1045024452449788e+01  3.1990164282886223e+01  3.1975549335265701e+01  3.1975495668602044e+01  7.7554380248733255e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3400000000000700e+01  6.0751521453278954e+01  3.1990015379558706e+01  3.1975339475239188e+01  3.1975280693862803e+01  7.8323139333271365e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3600000000000700e+01  6.0288925862937326e+01  3.1989897499334639e+01  3.1975134385043997e+01  3.1975070671329043e+01  7.9106492961617203e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.3800000000000800e+01  5.9738887799623967e+01  3.1989803607913036e+01  3.1974931129609644e+01  3.1974862733309529e+01  7.9870002502230539e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4000000000000799e+01  5.9160063642394903e+01  3.1989728266084690e+01  3.1974727247889646e+01  3.1974654423251241e+01  8.0592811025527347e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4200000000000800e+01  5.8596925002010039e+01  3.1989668841478078e+01  3.1974519870915714e+01  3.1974442875798331e+01  8.1261944316182735e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4400000000000899e+01  5.8084726760546644e+01  3.1989621510503923e+01  3.1974303002307916e+01  3.1974222167730620e+01  8.1869610874403591e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4600000000000900e+01  5.7649970028174550e+01  3.1989573358294013e+01  3.1974064723398502e+01  3.1973980537927531e+01  8.2413869741990649e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.4800000000000900e+01  5.7308854148331008e+01  3.1989495386177119e+01  3.1973787436521430e+01  3.1973700608926716e+01  8.2900808219340387e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5000000000000901e+01  5.7067725898436407e+01  3.1989338680087936e+01  3.1973448869180995e+01  3.1973360408593038e+01  8.3345257967831028e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5200000000000999e+01  5.6927512040182435e+01  3.1989027555227924e+01  3.1973017013578982e+01  3.1972928410104064e+01  8.3768985318847946e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5400000000001000e+01  5.6889443675250476e+01  3.1988477559582108e+01  3.1972458421851080e+01  3.1972371730316883e+01  8.4197488604140673e+00  0.0000000000000000e+00  nan  nan  nan  nan
1.5600000000001000e+01  5.6949061415184659e+01  3.1987768741838810e+01  3.1971837100238091e+01  3.1971753782213739e+01  8.4655337519891276e+00  0.0000000000000000e+00  nan  nan  nan  nan
